id,ready_time,completion_time,start_loc,job_id,job_list,wait_for_job,total_time,total_dwell_time,total_travel_time,total_wait_time,total_accel_time,total_coast_time,total_decel_time,total_distance,avg_speed
1,0.538608,1.305627,Gowrie_entry,1,(Wyreema_exit|0.000000),0.000000,0.767019,0.000000,0.767019,0.000000,0.277778,0.350353,0.138889,45.641712,59.505291
0,0.171386,1.614562,Gowrie_entry,0,(exit_to_Brisbane|0.000000),0.000000,1.443176,0.000000,1.443176,0.000000,0.333333,0.943176,0.166667,71.147676,49.299376
3,1.010286,1.787374,Wyreema_entry,3,(Gowrie_exit|0.000000),0.000000,0.777088,0.000000,0.777088,0.000000,0.314048,0.306016,0.157024,45.641712,58.734282
2,0.784982,2.234562,Gowrie_entry,2,(exit_to_Brisbane|0.000000),0.000000,1.449580,0.000000,1.449580,0.006404,0.333333,0.943176,0.166667,71.147676,49.081596
4,2.754395,3.521414,Gowrie_entry,4,(Wyreema_exit|0.000000),0.000000,0.767019,0.000000,0.767019,0.000000,0.277778,0.350353,0.138889,45.641712,59.505291
6,3.506033,4.273052,Gowrie_entry,6,(Wyreema_exit|0.000000),0.000000,0.767019,0.000000,0.767019,0.000000,0.277778,0.350353,0.138889,45.641712,59.505291
5,3.370597,4.751016,entry_from_Brisbane,5,(Wyreema_exit|0.000000),0.000000,1.380418,0.000000,1.380418,0.000000,0.333333,0.880418,0.166667,65.086971,47.150174
10,4.678040,5.557919,Gowrie_entry,10,(Wyreema_exit|0.000000),0.000000,0.879879,0.000000,0.879879,0.112860,0.277778,0.350353,0.138889,45.641712,51.872700
7,4.212102,5.757269,Gowrie_entry,7,(exit_to_Brisbane|0.000000),0.000000,1.545167,0.000000,1.545167,0.013299,0.444444,0.865201,0.222222,71.197676,46.077663
11,4.755933,5.789542,Wyreema_entry,11,(Gowrie_exit|0.000000),0.000000,1.033608,0.000000,1.033608,0.117182,0.444444,0.249760,0.222222,45.691712,44.206017
8,4.299959,5.846615,entry_from_Brisbane,8,(Wyreema_exit|0.000000),0.000000,1.546656,0.000000,1.546656,0.001843,0.547504,0.723556,0.273752,65.166450,42.133781
9,4.538122,6.194259,Gowrie_entry,9,(exit_to_Brisbane|0.000000),0.000000,1.656137,0.000000,1.656137,0.064340,0.532147,0.793576,0.266073,71.212517,42.999182
12,5.255532,6.636761,entry_from_Brisbane,12,(Wyreema_exit|0.000000),0.000000,1.381229,0.000000,1.381229,0.000000,0.343550,0.865905,0.171775,65.086971,47.122497
14,5.900086,6.850529,Gowrie_entry,14,(Wyreema_exit|0.000000),0.000000,0.950442,0.000000,0.950442,0.026013,0.488174,0.230355,0.205901,45.691712,48.074160
13,5.882624,7.049412,Wyreema_entry,13,(Gowrie_exit|0.000000),0.000000,1.166788,0.000000,1.166788,0.250362,0.444444,0.249760,0.222222,45.691712,39.160254
15,7.340906,8.792679,Wyreema_entry,15,(exit_to_Brisbane|0.000000),0.000000,1.451773,0.000000,1.451773,0.000000,0.333333,0.951773,0.166667,70.550722,48.596264
16,7.604330,9.144932,Gowrie_entry,16,(exit_to_Brisbane|0.000000),0.000000,1.540602,0.000000,1.540602,0.000000,0.435560,0.887262,0.217780,71.147676,46.181749
18,8.417441,9.184460,Gowrie_entry,18,(Wyreema_exit|0.000000),0.000000,0.767019,0.000000,0.767019,0.000000,0.277778,0.350353,0.138889,45.641712,59.505291
17,7.726072,9.505803,Gowrie_entry,17,(exit_to_Brisbane|0.000000),0.000000,1.779731,0.000000,1.779731,0.183673,0.500000,0.846058,0.250000,71.212517,40.013074
21,8.896289,9.667216,Wyreema_entry,21,(Gowrie_exit|0.000000),0.000000,0.770927,0.000000,0.770927,0.000000,0.299707,0.321366,0.149854,45.641712,59.203670
19,8.638731,10.229847,Gowrie_entry,19,(exit_to_Brisbane|0.000000),0.000000,1.591116,0.000000,1.591116,0.031487,0.506039,0.800570,0.253020,71.147676,44.715581
20,8.686393,10.387178,entry_from_Brisbane,20,(Gowrie_exit|0.000000),0.000000,1.700785,0.000000,1.700785,0.172708,0.539591,0.718691,0.269795,65.741781,38.653777
24,9.534084,10.552626,Wyreema_entry,24,(Gowrie_exit|0.000000),0.000000,1.018542,0.000000,1.018542,0.108900,0.449708,0.235080,0.224854,45.691712,44.859928
22,9.020697,10.827180,entry_from_Brisbane,22,(Wyreema_exit|0.000000),0.000000,1.806483,0.000000,1.806483,0.290457,0.506158,0.756790,0.253079,65.181292,36.081866
23,9.370058,11.160619,Wyreema_entry,23,(exit_to_Brisbane|0.000000),0.000000,1.790561,0.000000,1.790561,0.147096,0.571268,0.786818,0.285379,70.665564,39.465599
25,9.600667,11.509432,entry_from_Brisbane,25,(Wyreema_exit|0.000000),0.000000,1.908765,0.000000,1.908765,0.177849,0.722222,0.647583,0.361111,65.236971,34.177589
26,10.222703,12.052571,entry_from_Brisbane,26,(Wyreema_exit|0.000000),0.000000,1.829868,0.000000,1.829868,0.292649,0.500000,0.787218,0.250000,65.136971,35.596549
29,10.886038,12.628099,entry_from_Brisbane,29,(Wyreema_exit|0.000000),0.000000,1.742061,0.000000,1.742061,0.204843,0.500000,0.787218,0.250000,65.136971,37.390752
28,10.847420,12.844697,Gowrie_entry,28,(exit_to_Brisbane|0.000000),0.000000,1.997276,0.000000,1.997276,0.146628,0.856949,0.565226,0.428474,71.327155,35.712211
33,11.332291,13.145794,Wyreema_entry,33,(Gowrie_exit|0.000000),0.000000,1.813503,0.000000,1.813503,0.616091,0.737319,0.091434,0.368659,45.791712,25.250414
27,10.757888,13.233809,Wyreema_entry,27,(exit_to_Brisbane|0.000000),0.000000,2.475921,0.000000,2.475921,0.519145,0.951182,0.530259,0.475336,70.765564,28.581509
31,11.204090,13.338715,entry_from_Brisbane,31,(Gowrie_exit|0.000000),0.000000,2.134625,0.000000,2.134625,0.577783,0.582060,0.683752,0.291030,65.771260,30.811623
32,11.274881,13.622574,Gowrie_entry,32,(exit_to_Brisbane|0.000000),0.000000,2.347693,0.000000,2.347693,0.486666,0.820807,0.630071,0.410148,72.787676,31.003917
30,11.032996,13.983445,Wyreema_entry,30,(exit_to_Brisbane|0.000000),0.000000,2.950449,0.000000,2.950449,0.856741,1.087956,0.462029,0.543723,70.800722,23.996592
35,11.545388,13.994698,entry_from_Brisbane,35,(Wyreema_exit|0.000000),0.000000,2.449310,0.000000,2.449310,0.684724,0.780013,0.594567,0.390006,65.266450,26.646869
38,12.422702,14.265011,Gowrie_entry,38,(Wyreema_exit|0.000000),0.000000,1.842309,0.000000,1.842309,0.524821,0.819990,0.087503,0.409994,47.281712,25.664375
34,11.366084,14.373340,Gowrie_entry,34,(exit_to_Brisbane|0.000000),0.000000,3.007256,0.000000,3.007256,0.881597,1.086414,0.496294,0.542952,72.902517,24.242204
36,11.886685,14.535323,entry_from_Brisbane,36,(Wyreema_exit|0.000000),0.000000,2.648638,0.000000,2.648638,0.733465,0.936964,0.509727,0.468482,65.331292,24.665996
42,12.944632,14.804687,Wyreema_entry,42,(exit_to_Brisbane|0.000000),0.000000,1.860056,0.000000,1.860056,0.067051,0.801919,0.590127,0.400959,70.715564,38.017981
39,12.575091,14.805636,Gowrie_entry,39,(Wyreema_exit|0.000000),0.000000,2.230545,0.000000,2.230545,0.829969,0.900484,0.051074,0.449018,45.841712,20.551798
37,12.227983,14.909372,entry_from_Brisbane,37,(Gowrie_exit|0.000000),0.000000,2.681389,0.000000,2.681389,0.831139,0.945498,0.432002,0.472749,65.871260,24.566096
48,13.841976,15.075949,Gowrie_entry,48,(Wyreema_exit|0.000000),0.000000,1.233973,0.000000,1.233973,0.090516,0.655009,0.160944,0.327503,47.231712,38.276145
40,12.585532,15.109322,entry_from_Brisbane,40,(Gowrie_exit|0.000000),0.000000,2.523790,0.000000,2.523790,0.806594,0.793363,0.527151,0.396682,65.886102,26.106013
41,12.766682,15.236035,Gowrie_entry,41,(exit_to_Brisbane|0.000000),0.000000,2.469353,0.000000,2.469353,0.641220,0.775865,0.664335,0.387933,71.262517,28.858779
43,12.982693,15.631447,entry_from_Brisbane,43,(Wyreema_exit|0.000000),0.000000,2.648754,0.000000,2.648754,0.793221,0.903862,0.499740,0.451931,65.266450,24.640436
46,13.366955,15.896394,entry_from_Brisbane,46,(Gowrie_exit|0.000000),0.000000,2.529440,0.000000,2.529440,0.730007,0.835676,0.545919,0.417838,65.921260,26.061606
44,13.103700,15.973963,Wyreema_entry,44,(exit_to_Brisbane|0.000000),0.000000,2.870263,0.000000,2.870263,1.142693,0.715151,0.655099,0.357321,70.600722,24.597297
47,13.541389,16.228835,Wyreema_entry,47,(Gowrie_exit|0.000000),0.000000,2.687446,0.000000,2.687446,1.719013,0.576480,0.103712,0.288240,45.691712,17.001911
45,13.288612,16.382807,Wyreema_entry,45,(exit_to_Brisbane|0.000000),0.000000,3.094196,0.000000,3.094196,1.416293,0.622814,0.743681,0.311407,70.600722,22.817149
49,14.094561,16.430199,entry_from_Brisbane,49,(Wyreema_exit|0.000000),0.000000,2.335638,0.000000,2.335638,0.479067,0.891439,0.519413,0.445719,65.316450,27.965144
52,15.146462,16.702503,Wyreema_entry,52,(Gowrie_exit|0.000000),0.000000,1.556041,0.000000,1.556041,0.540781,0.571425,0.158122,0.285713,45.691712,29.364077
51,15.019914,16.895425,entry_from_Brisbane,51,(Gowrie_exit|0.000000),0.000000,1.875511,0.000000,1.875511,0.172906,0.745576,0.584240,0.372788,65.836102,35.103027
50,14.526743,16.973338,entry_from_Brisbane,50,(Wyreema_exit|0.000000),0.000000,2.446595,0.000000,2.446595,0.569115,0.881671,0.554973,0.440836,65.286971,26.684825
56,15.701961,17.076282,Wyreema_entry,56,(Gowrie_exit|0.000000),0.000000,1.374321,0.000000,1.374321,0.357195,0.603486,0.112292,0.301348,45.691712,33.246747
54,15.590279,17.326616,Gowrie_entry,54,(exit_to_Brisbane|0.000000),0.000000,1.736338,0.000000,1.736338,0.021096,0.675939,0.701332,0.337970,71.197676,41.004514
53,15.422209,17.548866,entry_from_Brisbane,53,(Wyreema_exit|0.000000),0.000000,2.126657,0.000000,2.126657,0.386430,0.740969,0.628773,0.370485,65.281292,30.696666
57,15.753446,17.819179,entry_from_Brisbane,57,(Wyreema_exit|0.000000),0.000000,2.065733,0.000000,2.065733,0.231089,0.816335,0.610141,0.408168,65.286971,31.604748
55,15.681481,18.089491,Gowrie_entry,55,(Wyreema_exit|0.000000),0.000000,2.408011,0.000000,2.408011,1.056984,0.880918,0.067836,0.402273,45.791712,19.016408
60,16.543262,18.491835,Gowrie_entry,60,(exit_to_Brisbane|0.000000),0.000000,1.948573,0.000000,1.948573,0.161976,0.713067,0.716996,0.356534,71.197676,36.538369
58,15.971645,18.510480,Wyreema_entry,58,(Gowrie_exit|0.000000),0.000000,2.538835,0.000000,2.538835,1.341423,0.737319,0.091434,0.368659,45.791712,18.036508
61,16.722858,18.632630,entry_from_Brisbane,61,(Wyreema_exit|0.000000),0.000000,1.909772,0.000000,1.909772,0.199687,0.709880,0.645265,0.354940,65.166450,34.122629
62,16.731742,18.848834,Gowrie_entry,62,(exit_to_Brisbane|0.000000),0.000000,2.117092,0.000000,2.117092,0.432771,0.638562,0.726732,0.319026,71.197676,33.629939
64,17.146795,19.209705,Gowrie_entry,64,(exit_to_Brisbane|0.000000),0.000000,2.062909,0.000000,2.062909,0.254548,0.703105,0.753704,0.351553,72.687676,35.235516
59,16.500713,19.625973,Wyreema_entry,59,(exit_to_Brisbane|0.000000),0.000000,3.125260,0.000000,3.125260,1.414147,0.632120,0.762933,0.316060,70.665564,22.611100
68,18.863132,19.627322,Wyreema_entry,68,(Gowrie_exit|0.000000),0.000000,0.764190,0.000000,0.764190,0.000000,0.277778,0.347524,0.138889,45.641712,59.725583
65,17.742364,20.043367,Gowrie_entry,65,(exit_to_Brisbane|0.000000),0.000000,2.301003,0.000000,2.301003,0.481194,0.760487,0.679079,0.380243,71.312517,30.991924
67,18.688057,20.375110,entry_from_Brisbane,67,(Wyreema_exit|0.000000),0.000000,1.687052,0.000000,1.687052,0.073227,0.598667,0.715824,0.299334,65.136971,38.609928
63,17.043852,20.474715,Wyreema_entry,63,(exit_to_Brisbane|0.000000),0.000000,3.430863,0.000000,3.430863,1.535208,0.854343,0.614141,0.427171,70.765564,20.626169
69,19.006110,20.640051,entry_from_Brisbane,69,(Gowrie_exit|0.000000),0.000000,1.633942,0.000000,1.633942,0.079270,0.539961,0.744730,0.269981,65.741781,40.235086
66,18.485078,20.778827,Gowrie_entry,66,(exit_to_Brisbane|0.000000),0.000000,2.293749,0.000000,2.293749,0.418622,0.844911,0.607760,0.422455,72.817155,31.745914
71,19.363659,21.160896,entry_from_Brisbane,71,(Wyreema_exit|0.000000),0.000000,1.797237,0.000000,1.797237,0.161907,0.617373,0.709271,0.308686,65.186971,36.270659
74,20.409352,21.173542,Wyreema_entry,74,(Gowrie_exit|0.000000),0.000000,0.764190,0.000000,0.764190,0.000000,0.277778,0.347524,0.138889,45.641712,59.725583
70,19.063241,21.200475,Wyreema_entry,70,(exit_to_Brisbane|0.000000),0.000000,2.137234,0.000000,2.137234,0.304161,0.809715,0.618756,0.404602,70.745043,33.101220
72,19.623565,21.617870,Wyreema_entry,72,(exit_to_Brisbane|0.000000),0.000000,1.994304,0.000000,1.994304,0.257279,0.666667,0.737025,0.333333,70.745043,35.473549
73,20.260197,21.631683,entry_from_Brisbane,73,(Gowrie_exit|0.000000),0.000000,1.371486,0.000000,1.371486,0.000000,0.344584,0.854610,0.172292,65.691781,47.898251
75,20.580612,22.422366,entry_from_Brisbane,75,(Wyreema_exit|0.000000),0.000000,1.841754,0.000000,1.841754,0.187971,0.651072,0.677175,0.325536,65.216450,35.409962
76,20.893140,22.580820,Wyreema_entry,76,(exit_to_Brisbane|0.000000),0.000000,1.687680,0.000000,1.687680,0.115330,0.505381,0.814278,0.252691,70.615564,41.841788
80,21.586979,22.673215,Gowrie_entry,80,(Wyreema_exit|0.000000),0.000000,1.086236,0.000000,1.086236,0.011525,0.620899,0.143363,0.310449,45.641712,42.018224
